brand,model,body_type,energy,vehicle_price_eur,co2_mixed_g_km,fuel_consumption_l_100km,electric_range_km,max_power_kw,vehicle_weight_kg,eco_bonus_malus_eur,power_weight_ratio
RENAULT,KANGOO,combispace,essence,31000,178.42,7.871,0.0,96.0,1519,Malus,0.06319947333772219
MAZDA,MX-30,ts terrains/chemins,electric,38510,,0.0,200.0,0.0,1645,Bonus 6000,0.0
B.M.W.,SERIE 2,monospace compact,essence,36688,158.0,6.942,0.0,100.0,1470,Malus,0.06802721088435375
SKODA,OCTAVIA,berline,gazole,35218,137.3,5.236,0.0,110.0,1386,Neutre 0,0.07936507936507936
JEEP,COMPASS,ts terrains/chemins,elec+essenc hr,50100,47.67,2.047,46.3,132.0,1860,Neutre 0,0.07096774193548387
B.M.W.,SERIE 5,break,gaz+elec hnr,77588,174.2,6.653,0.0,250.0,1925,Malus,0.12987012987012986
CITROEN,E-BERLINGO,combispace,electric,38150,,0.0,245.0,0.0,1664,Bonus 4000,0.0
B.M.W.,SERIE X,ts terrains/chemins,gaz+elec hnr,59100,173.8,6.637,0.0,140.0,1840,Malus,0.07608695652173914
B.M.W.,SERIE 4,coupe,essence,53100,163.6,7.201,0.0,135.0,1525,Malus,0.08852459016393442
ALFA ROMEO,GIULIA,berline,essence,51625,174.55,7.704,0.0,148.0,1429,Malus,0.10356892932120364
RENAULT,KANGOO,combispace,essence,31000,178.42,7.871,0.0,96.0,1519,Malus,0.06319947333772219
OPEL,CORSA,berline,electric,37600,,0.0,346.0,0.0,1455,Bonus 6000,0.0
KIA,RIO,berline,essence,19465,129.0,5.678,0.0,73.5,1100,Malus,0.06681818181818182
SKODA,KAROQ,ts terrains/chemins,essence,33965,146.1,6.43,0.0,110.0,1321,Malus,0.08327024981074943
AUDI,A3 SPORTBACK,berline,ess+elec hnr,35775,140.0,6.164,0.0,81.0,1280,Neutre 0,0.06328125
B.M.W.,M4,cabriolet,essence,115550,233.0,10.245,0.0,375.0,1920,Malus,0.1953125
PORSCHE,MACAN GTS,ts terrains/chemins,essence,93699,265.0,11.7,0.0,324.0,1960,Malus,0.1653061224489796
B.M.W.,SERIE X,ts terrains/chemins,gazole,43167,146.6,5.604,0.0,110.0,1510,Malus,0.0728476821192053
RENAULT,KANGOO,combispace,essence,25900,175.44,7.75,0.0,75.0,1475,Malus,0.05084745762711865
KIA,CEED,break,elec+essenc hr,38722,28.62,1.256,50.0,77.2,1533,Bonus 1000,0.05035877364644488
B.M.W.,SERIE 4,berline,essence,53833,169.1,7.448,0.0,135.0,1620,Malus,0.08333333333333333
B.M.W.,SERIE 5,break,gaz+elec hnr,62188,160.2,6.121,0.0,140.0,1840,Malus,0.07608695652173914
MINI,MINI,berline,essence,40700,162.4,7.138,0.0,170.0,1275,Malus,0.13333333333333333
B.M.W.,SERIE 1,berline,essence,35210,154.9,6.815,0.0,100.0,1290,Malus,0.07751937984496124
B.M.W.,SERIE 4,cabriolet,gaz+elec hnr,78250,174.6,6.669,0.0,250.0,1980,Malus,0.12626262626262627
B.M.W.,SERIE X,ts terrains/chemins,essence,42517,165.1,7.265,0.0,100.0,1430,Malus,0.06993006993006994
FORD,KUGA,ts terrains/chemins,ess+elec hnr,41512,145.77,6.358,0.0,112.0,1626,Malus,0.06888068880688807
B.M.W.,M4,coupe,essence,104550,224.0,9.848,0.0,375.0,1725,Malus,0.21739130434782608
MINI,MINI,ts terrains/chemins,essence,32880,157.3,6.891,0.0,75.0,1390,Malus,0.0539568345323741
RENAULT,TRAFIC,minibus,gazole,41350,203.6,7.756,0.0,110.0,1962,Malus,0.05606523955147808
KIA,PROCEED,berline,essence,37790,153.6,6.794,0.0,150.0,1363,Malus,0.11005135730007337
PEUGEOT,2008,ts terrains/chemins,gazole,33910,142.05,5.417,0.0,96.0,1270,Malus,0.07559055118110236
FORD,TRANSIT CUSTOM,minibus,gazole,52346,236.84,9.025,0.0,95.6,2093,Malus,0.04567606306736741
MINI,MINI,berline,essence,33325,145.7,6.416,0.0,100.0,1230,Malus,0.08130081300813008
FIAT,PANDA,berline,ess+elec hnr,15940,119.5,5.256,0.0,51.5,999,Neutre 0,0.05155155155155155
MINI,MINI,berline,essence,40700,162.4,7.138,0.0,170.0,1275,Malus,0.13333333333333333
FORD,KUGA,ts terrains/chemins,ess+elec hnr,41512,145.77,6.358,0.0,112.0,1626,Neutre 0,0.06888068880688807
PEUGEOT,2008,ts terrains/chemins,gazole,28979,128.93,4.917,0.0,81.0,1205,Neutre 0,0.06721991701244813
B.M.W.,SERIE 5,break,gaz+elec hnr,77588,174.2,6.653,0.0,250.0,1925,Malus,0.12987012987012986
KIA,SPORTAGE,ts terrains/chemins,elec+essenc hr,48490,25.47,1.121,70.0,132.4,1830,Bonus 1000,0.07234972677595629
LEXUS,RX450H,ts terrains/chemins,ess+elec hnr,79890,182.51,8.049,0.0,193.0,2100,Malus,0.0919047619047619
VOLKSWAGEN,CADDY,combispace,gazole,37343,150.7,5.747,0.0,90.0,1568,Malus,0.05739795918367347
